model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M1b_period_bias,LOSO,2.0,54,-0.07767011622387858,0.3790130469174832,25.559259259259267,25.481589143035382
M1b_period_bias,LOSO,2.25,27,0.007451469378904318,0.3953133343382031,25.185185185185187,25.192636654564087
M1b_period_bias,LOSO,2.5,27,0.02471955153667575,0.3927570435693017,25.15185185185185,25.176571403388525
M1b_period_bias,LOSO,2.75,27,0.03084802897703114,0.36471308472317365,25.129629629629626,25.160477658606663
M1b_period_bias,LOSO,3.0,27,0.04435575854756366,0.36458617825786,25.1,25.144355758547565
M1b_period_bias,LOSO,3.25,27,0.030481442499143283,0.35722147955933586,25.077777777777783,25.108259220276917
M1b_period_bias,LOSO,3.5,27,-0.005660799618579422,0.36270726933473996,25.07777777777778,25.072116978159194
M1b_period_bias,LOSO,3.75,27,-0.05295920573862455,0.38965173722200386,25.088888888888885,25.035929683150265
M1b_period_bias,LOSO,4.0,27,-0.0743761000307675,0.3879853708821212,25.074074074074073,24.999697974043308
M1b_period_bias,LOSO,4.25,27,-0.03703200544033765,0.3915142652753521,25.033333333333335,24.996301327892997
M1b_period_bias,LOSO,4.5,27,0.02623151190948976,0.40640256857693985,24.96666666666667,24.99289817857616
M1b_period_bias,LOSO,4.75,27,0.05245148541477423,0.41107456826627375,24.93703703703704,24.98948852245181
M1b_period_bias,LOSO,5.0,27,0.01570198506535758,0.3928303356921582,24.97037037037037,24.986072355435727
M1b_period_bias,LOSO,5.25,27,0.03751599371099227,0.4035226703613904,24.937037037037037,24.97455303074803
M1b_period_bias,LOSO,5.5,27,0.08153992174137453,0.422682164027859,24.88148148148148,24.963021403222857
M1b_period_bias,LOSO,5.75,27,0.11444074092718123,0.4290115331075232,24.837037037037035,24.951477777964215
M1b_period_bias,LOSO,6.0,27,0.15473726919640074,0.4156551285780384,24.78518518518518,24.939922454381584
M1b_period_bias,LOSO,6.25,27,0.18360205849162678,0.4343003264242491,24.777777777777775,24.961379836269405
M1b_period_bias,LOSO,6.5,27,0.20492299742298853,0.4592934239586656,24.777777777777782,24.98270077520076
M1b_period_bias,LOSO,6.75,27,0.22610388196505582,0.4674333812951455,24.777777777777782,25.003881659742834
M1b_period_bias,LOSO,7.0,27,0.26793852388363115,0.46394660649207764,24.77777777777778,25.045716301661407
